"pre" "post" "clos" "Vpn" "Age" "G" "R" "P" "Cluster" "Place" "vint" "offset" "W"
"1783" 70.1587301587301 29.6145124716552 105.238095238095 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 205.011337868481 20.2721088435376 "esquife"
"1784" 40.0907029478459 34.6031746031746 110.249433106576 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 184.943310657596 2.74376417233566 "esquife"
"1786" 30.0680272108845 34.21768707483 130.294784580499 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 194.580498866213 -2.07482993197277 "esquina"
"1788" 45.1020408163265 34.7165532879819 105.238095238095 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 185.056689342404 5.19274376417229 "esquiando"
"1789" 65.1473922902494 29.5238095238095 75.170068027211 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 169.84126984127 17.81179138322 "escucha"
"1790" 55.124716553288 39.7052154195012 105.238095238095 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 200.068027210884 7.70975056689326 "escucha"
"1792" 40.0907029478459 39.5691609977324 125.283446712018 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 204.943310657596 0.260770975056744 "escudo"
"1795" 70.1587301587301 34.6938775510205 115.260770975057 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 220.113378684807 17.7324263038547 "escupe"
"1798" 50.1133786848072 44.2630385487529 135.30612244898 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 229.68253968254 2.92517006802723 "vasca"
"1799" 50.1133786848073 49.6145124716552 100.226757369615 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 199.954648526077 0.249433106576021 "escuela"
"1800" 10.1814058956917 44.5804988662131 105.238095238095 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 160 -17.1995464852607 "escuela"
"1801" 40.0907029478458 54.8979591836734 65.1473922902495 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 160.136054421769 -7.40362811791385 "escuela"
"1804" 30.0680272108845 44.467120181406 130.294784580499 "FGC0062" "alt" "m" "Sevilla" "sk" "cluster" "vel" 204.829931972789 -7.19954648526073 "escueto"
"1806" 30.0680272108843 24.4897959183673 90.2040816326531 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 144.761904761905 2.78911564625844 "caspa"
"1807" 10.0226757369614 14.3990929705216 120.272108843537 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 144.69387755102 -2.18820861678012 "caspa"
"1808" 45.1020408163265 24.6258503401359 90.2040816326532 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 159.931972789116 10.2380952380953 "despide"
"1809" 40.0907029478459 34.6485260770975 95.2154195011337 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 169.954648526077 2.72108843537421 "despide"
"1810" 40.0907029478459 39.4557823129253 125.283446712018 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 204.829931972789 0.317460317460359 "despide"
"1811" 50.1133786848072 24.21768707483 90.204081632653 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 164.53514739229 12.9478458049886 "espia"
"1813" 25.0566893424035 29.8185941043083 85.1927437641724 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 140.068027210884 -2.38095238095252 "espia"
"1814" 40.0907029478458 19.6371882086167 85.1927437641724 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 144.920634920635 10.2267573696145 "espina"
"1815" 35.0793650793651 14.3537414965987 135.30612244898 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 184.739229024943 10.3628117913833 "espina"
"1816" 25.0566893424036 5.64625850340133 175.396825396825 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 206.09977324263 9.7052154195012 "espina"
"1817" 50.1133786848072 19.5691609977324 100.226757369614 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 169.909297052154 15.2721088435374 "respira"
"1818" 50.1133786848072 4.60317460317458 85.1927437641723 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 139.909297052154 22.7551020408163 "respira"
"1819" 25.0566893424035 9.20634920634927 160.362811791383 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 194.625850340136 7.925170068027 "respira"
"1820" 30.0680272108843 24.5804988662131 100.226757369614 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 154.875283446712 2.74376417233566 "despierta"
"1822" 40.0907029478458 39.5464852607711 100.226757369614 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 179.863945578231 0.272108843537353 "despierta"
"1823" 25.2834467120182 39.4784580498867 105.238095238095 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 170 -7.09750566893433 "espiaba"
"1824" 30.0680272108845 34.7392290249434 100.226757369614 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 165.034013605442 -2.3356009070294 "espiaba"
"1825" 14.9433106575964 34.7619047619048 130.294784580499 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 180 -9.90929705215422 "espiaba"
"1826" 30.0680272108845 34.5124716553288 110.249433106576 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 174.829931972789 -2.22222222222217 "espiando"
"1827" 45.1020408163265 9.54648526077096 75.1700680272108 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 129.818594104308 17.7777777777777 "disputa"
"1828" 55.124716553288 14.671201814059 75.1700680272108 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 144.965986394558 20.2267573696145 "disputa"
"1829" 10.0226757369613 19.5691609977324 115.260770975057 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 144.85260770975 -4.77324263038554 "disputa"
"1830" 30.0680272108845 39.5011337868481 115.260770975057 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 184.829931972789 -4.7165532879817 "espuma"
"1831" 20.0453514739229 24.671201814059 80.1814058956916 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 124.897959183673 -2.31292517006807 "espuma"
"1832" 19.9546485260771 24.7619047619048 125.283446712018 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 170 -2.40362811791397 "espuma"
"1833" 75.170068027211 24.2403628117914 115.260770975057 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 214.671201814059 25.4648526077098 "esputo"
"1834" 50.1133786848072 9.77324263038554 85.1927437641723 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 145.079365079365 20.1700680272108 "esputo"
"1835" 50.1133786848073 34.7392290249434 110.249433106576 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 195.102040816327 7.68707482993193 "esputo"
"1836" 30.0680272108843 29.4784580498867 80.1814058956916 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 139.727891156463 0.294784580498799 "despues"
"1837" 65.1473922902495 14.6485260770976 70.1587301587301 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 149.954648526077 25.2494331065759 "despues"
"1839" 25.0566893424035 14.7619047619048 80.1814058956917 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 120 5.1473922902494 "espuela"
"1840" 65.1473922902494 29.5011337868481 85.1927437641724 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 179.84126984127 17.8231292517007 "espuela"
"1841" 15.0340136054422 39.5918367346939 120.272108843537 "FGC0062" "alt" "m" "Sevilla" "sp" "cluster" "bil" 174.897959183673 -12.2789115646258 "espuela"
"1842" 40.0907029478458 34.6031746031746 95.2154195011337 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 169.909297052154 2.74376417233555 "vestuario"
"1843" 60.1360544217688 34.5804988662131 90.204081632653 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 184.920634920635 12.7777777777778 "vestuario"
"1844" 30.0680272108843 39.5918367346939 110.249433106576 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 179.909297052154 -4.76190476190482 "vestuario"
"1846" 85.1927437641723 24.6031746031746 85.1927437641723 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 194.988662131519 30.2947845804989 "hasta"
"1848" 45.1020408163265 49.4557823129253 100.226757369614 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 194.784580498866 -2.17687074829939 "bestial"
"1850" 10.0226757369614 54.5124716553288 105.238095238095 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 169.773242630386 -22.2448979591836 "bestial"
"1852" 60.1360544217687 24.421768707483 80.1814058956917 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 164.739229024943 17.8571428571428 "bestiando"
"1853" 20.0453514739228 39.2063492063493 115.260770975057 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 174.512471655329 -9.58049886621325 "bestiando"
"1856" 10.0226757369614 39.6371882086167 80.1814058956916 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 129.84126984127 -14.8072562358277 "destiempo"
"1859" 40.0907029478458 39.4784580498867 120.272108843537 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 199.84126984127 0.306122448979522 "pistolin"
"1862" 30.0680272108843 44.21768707483 160.362811791383 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 234.648526077098 -7.07482993197289 "resto"
"1865" 25.0566893424036 34.4897959183673 155.351473922903 "FGC0062" "alt" "m" "Sevilla" "st" "cluster" "alv" 214.897959183673 -4.71655328798181 "estuela"
"1866" 15.0340136054422 43.6961451247166 110.249433106576 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 168.979591836735 -14.3310657596371 "cosquillas"
"1867" -10.0226757369613 69.2517006802722 110.249433106576 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 169.478458049887 -39.6371882086167 "cosquillas"
"1868" 10.0226757369616 33.9002267573694 110.249433106576 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 154.172335600907 -11.9387755102039 "cosquillas"
"1869" 35.0793650793652 63.9002267573696 105.238095238095 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 204.21768707483 -14.4104308390023 "esquia"
"1870" 100.226757369614 49.0702947845806 50.1133786848072 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 199.410430839002 25.578231292517 "esquia"
"1871" 50.1133786848072 33.764172335601 115.260770975057 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 199.138321995465 8.17460317460336 "esquia"
"1873" 35.0793650793652 33.8095238095239 150.340136054422 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 219.229024943311 0.634920634920718 "esquife"
"1874" 25.0566893424036 53.9909297052153 120.272108843537 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 199.319727891156 -14.4671201814059 "esquina"
"1875" 45.1020408163266 38.6167800453513 120.272108843538 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 203.990929705216 3.2426303854877 "esquina"
"1876" 7.2789115646259 49.1383219954647 123.015873015873 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 179.433106575964 -20.9297052154194 "esquina"
"1879" 35.0793650793651 53.9682539682537 90.2040816326531 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 179.251700680272 -9.44444444444434 "esquiando"
"1880" 50.1133786848072 64.0362811791381 80.1814058956917 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 194.331065759637 -6.96145124716531 "escucha"
"1881" 25.0566893424036 54.0589569160998 100.226757369615 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 179.342403628118 -14.501133786848 "escucha"
"1883" 35.0793650793651 59.047619047619 115.260770975057 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 209.387755102041 -11.984126984127 "escudo"
"1884" 45.1020408163265 49.2743764172336 120.272108843537 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 214.648526077098 -2.08616780045361 "escudo"
"1885" 35.0793650793652 43.9682539682537 80.1814058956916 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 159.22902494331 -4.44444444444434 "escudo"
"1886" 24.2857142857142 29.1609977324264 136.077097505669 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 189.52380952381 -2.43764172335602 "escupe"
"1887" 15.0340136054422 53.9455782312924 110.249433106576 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 179.22902494331 -19.4557823129252 "escupe"
"1888" 45.1020408163265 38.9115646258501 115.260770975057 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 199.274376417233 3.09523809523807 "escupe"
"1889" 65.1473922902494 85.1927437641723 75.170068027211 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 225.510204081633 -10.0226757369614 "vasca"
"1890" 45.1020408163265 38.5034013605443 125.283446712018 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 208.888888888889 3.29931972789109 "escuela"
"1891" 30.7482993197279 49.0249433106576 100.226757369615 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 180 -9.13832199546482 "escuela"
"1892" 35.0793650793651 59.0249433106574 80.1814058956917 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 174.285714285714 -11.972789115646 "escuela"
"1893" 15.0340136054422 68.9342403628116 100.226757369615 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 184.195011337868 -26.9501133786846 "escueto"
"1894" 25.4195011337868 39.2517006802722 145.328798185941 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 210 -6.91609977324265 "escueto"
"1895" 35.0793650793652 78.7301587301588 80.1814058956916 "FMD0043" "jung" "m" "Granada" "sk" "cluster" "vel" 193.990929705216 -21.8253968253969 "escueto"
"1896" -10.0226757369614 13.5827664399094 205.46485260771 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 209.024943310658 -11.8027210884356 "caspa"
"1897" 10.0226757369614 39.2290249433107 140.31746031746 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 189.569160997733 -14.6031746031747 "caspa"
"1898" 5.01133786848072 34.0816326530612 145.328798185941 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 184.421768707483 -14.5351473922904 "caspa"
"1899" 0 4.19501133786855 155.351473922903 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 159.546485260771 -2.09750566893422 "despide"
"1900" 32.2675736961451 18.7074829931973 133.106575963719 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 184.081632653061 6.78004535147375 "despide"
"1901" 0 24.1496598639455 180.408163265306 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 204.557823129252 -12.0748299319728 "despide"
"1902" 0 18.8208616780043 155.351473922903 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 174.172335600907 -9.41043083900217 "espia"
"1903" 8.36734693877554 23.7868480725624 126.938775510204 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 159.092970521542 -7.70975056689349 "espia"
"1904" 40.0907029478458 34.0589569160998 150.340136054422 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 224.489795918367 3.01587301587301 "espia"
"1907" -5.01133786848061 18.9342403628116 195.442176870748 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 209.365079365079 -11.9727891156462 "espina"
"1908" 10.0226757369613 14.1043083900228 165.374149659864 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 189.501133786848 -2.0408163265306 "respira"
"1909" -5.01133786848072 19.092970521542 170.385487528345 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 184.467120181406 -12.0521541950114 "respira"
"1910" 19.8185941043084 9.20634920634927 120.498866213152 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 149.52380952381 5.30612244897964 "respira"
"1911" 5.01133786848072 14.1269841269842 125.283446712018 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 144.421768707483 -4.5578231292518 "despierta"
"1912" 5.01133786848072 19.1383219954648 135.30612244898 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 159.455782312925 -7.06349206349205 "despierta"
"1913" 20.0453514739228 29.1383219954648 135.30612244898 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 184.489795918367 -4.54648526077108 "despierta"
"1914" -10.0226757369614 8.43537414965976 165.374149659864 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 163.786848072562 -9.22902494331061 "espiaba"
"1915" 5.01133786848072 29.1836734693878 115.260770975057 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 149.455782312925 -12.0861678004535 "espiaba"
"1916" 10.0226757369616 9.11564625850349 140.31746031746 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 159.455782312925 0.453514739229036 "espiando"
"1917" -4.46712018140602 19.1836734693878 125.283446712018 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 140 -11.8253968253969 "espiando"
"1918" 5.01133786848072 64.4444444444445 95.2154195011337 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 164.671201814059 -29.7165532879818 "espiando"
"1919" 40.0907029478458 34.1723356009071 105.238095238095 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 179.501133786848 2.9591836734694 "disputa"
"1920" 0 23.968253968254 175.396825396826 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 199.36507936508 -11.984126984127 "disputa"
"1921" 49.7732426303854 13.9455782312926 120.612244897959 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 184.331065759637 17.9138321995463 "disputa"
"1923" 10.0226757369614 24.1723356009071 145.328798185941 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 179.52380952381 -7.07482993197277 "espuma"
"1925" 5.01133786848084 34.0362811791383 175.396825396825 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 214.444444444445 -14.5124716553288 "esputo"
"1926" 15.0340136054422 24.4444444444446 135.30612244898 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 174.784580498866 -4.7052154195012 "esputo"
"1928" 10.0226757369614 38.5941043083901 125.283446712018 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 173.90022675737 -14.2857142857142 "despues"
"1929" 20.0453514739229 54.4217687074829 110.249433106576 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 184.716553287982 -17.18820861678 "despues"
"1930" 10.0226757369616 24.0816326530612 155.351473922902 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 189.455782312925 -7.02947845804988 "despues"
"1931" 15.0340136054421 44.2857142857143 135.30612244898 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 194.625850340136 -14.6258503401361 "espuela"
"1932" 10.0226757369614 44.4217687074829 120.272108843537 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 174.716553287982 -17.1995464852607 "espuela"
"1933" 18.2766439909296 33.9455782312924 127.052154195011 "FMD0043" "jung" "m" "Granada" "sp" "cluster" "bil" 179.274376417233 -7.83446712018144 "espuela"
"1934" 25.0566893424037 33.9455782312924 90.2040816326529 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 149.206349206349 -4.44444444444434 "vestuario"
"1935" 15.0340136054422 33.6961451247166 110.249433106576 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 158.979591836735 -9.33106575963711 "vestuario"
"1936" 15.0340136054422 43.4013605442176 130.294784580499 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 188.730158730159 -14.1836734693877 "hasta"
"1937" 35.0793650793649 43.877551020408 85.1927437641724 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 164.149659863945 -4.39909297052156 "bestial"
"1939" 65.1473922902494 38.956916099773 105.238095238095 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 209.342403628118 13.0952380952381 "bestial"
"1940" 35.0793650793651 33.5827664399094 100.226757369614 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 168.888888888889 0.748299319727721 "bestiando"
"1941" 55.124716553288 38.8662131519272 90.2040816326531 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 184.195011337868 8.12925170068047 "bestiando"
"1942" 45.1020408163265 33.9229024943311 80.1814058956915 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 159.206349206349 5.5895691609976 "bestiando"
"1943" 20.0453514739228 33.8548752834465 110.249433106576 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 164.149659863945 -6.90476190476181 "destiempo"
"1944" 55.1247165532882 38.5941043083901 90.204081632653 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 183.922902494331 8.26530612244915 "destiempo"
"1945" 45.1020408163266 23.6734693877552 105.238095238095 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 174.013605442177 10.7142857142856 "destiempo"
"1946" 34.8299319727889 32.8571428571427 60.1360544217691 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 127.823129251701 0.986394557822678 "pasta"
"1947" 24.7392290249436 35.1247165532877 70.1587301587301 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 130.022675736961 -5.19274376417161 "pasta"
"1949" 30.0680272108843 23.764172335601 90.204081632653 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 144.036281179138 3.15192743764169 "pistolin"
"1950" 15.0340136054423 34.1043083900227 95.2154195011337 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 144.353741496599 -9.53514739229013 "pistolin"
"1951" 20.0453514739229 23.3786848072561 155.351473922902 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 198.775510204081 -1.66666666666652 "resto"
"1952" 35.0793650793649 44.1043083900227 110.249433106576 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 189.433106575964 -4.51247165532891 "estuela"
"1953" 25.0566893424036 43.6054421768708 120.272108843537 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 188.934240362812 -9.27437641723373 "estuela"
"1954" 10.0226757369614 44.2403628117914 145.328798185941 "FMD0043" "jung" "m" "Granada" "st" "cluster" "alv" 199.591836734694 -17.1088435374149 "estuela"
"1955" -23.2426303854876 19.1156462585035 295.668934240363 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 291.541950113379 -21.1791383219954 "cosquillas"
"1956" 20.0453514739228 34.3083900226757 75.170068027211 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 129.523809523809 -7.13151927437639 "cosquillas"
"1957" 5.01133786848072 39.1383219954648 110.249433106576 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 154.399092970522 -17.063492063492 "cosquillas"
"1958" 45.1020408163266 54.875283446712 60.1360544217687 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 160.113378684807 -4.88662131519277 "esquia"
"1959" 24.9886621315194 34.8752834467119 60.1360544217687 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 120 -4.94331065759627 "esquia"
"1960" 20.1360544217687 24.6938775510205 75.1700680272108 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 120 -2.2789115646259 "esquife"
"1961" 40.0226757369616 34.8299319727893 65.1473922902493 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 140 2.59637188208603 "esquife"
"1962" 25.0566893424035 29.7505668934241 80.1814058956917 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 134.988662131519 -2.34693877551024 "esquife"
"1963" 25.0566893424036 39.6825396825396 35.0793650793651 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 99.8185941043083 -7.31292517006807 "esquina"
"1964" 30.0680272108842 44.8072562358277 50.1133786848073 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 124.988662131519 -7.36961451247168 "esquina"
"1965" 19.9092970521543 39.9546485260771 60.1360544217686 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 120 -10.0226757369613 "esquina"
"1966" 40.0907029478459 34.6031746031746 60.1360544217687 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 134.829931972789 2.74376417233566 "esquiando"
"1967" 10.0226757369613 29.9319727891157 60.1360544217687 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 100.090702947846 -9.95464852607722 "esquiando"
"1968" 40.0907029478458 49.8639455782313 65.1473922902494 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 155.102040816327 -4.88662131519277 "esquiando"
"1969" 50.1133786848072 49.047619047619 325.736961451247 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 424.897959183673 0.532879818594097 "escucha"
"1970" 10.0226757369614 54.9659863945577 60.1360544217687 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 125.124716553288 -22.4716553287981 "escudo"
"1971" 77.6870748299319 51.1111111111112 31.2698412698413 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 160.068027210884 13.2879818594104 "escudo"
"1972" 30.0680272108843 49.9092970521541 55.1247165532881 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 135.102040816326 -9.92063492063494 "escudo"
"1973" 20.045351473923 39.8639455782312 65.1473922902494 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 125.056689342404 -9.9092970521541 "escupe"
"1974" 25.0566893424037 59.7732426303855 50.1133786848072 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 134.943310657596 -17.3582766439908 "escupe"
"1975" 15.0340136054422 24.5351473922901 105.238095238095 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 144.807256235828 -4.75056689342387 "vasca"
"1976" 10.0226757369614 19.6598639455783 95.2154195011337 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 124.897959183673 -4.81859410430843 "vasca"
"1977" 50.1133786848072 24.5351473922901 75.170068027211 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 149.818594104308 12.7891156462586 "vasca"
"1978" 35.0793650793652 44.9886621315192 40.0907029478458 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 120.15873015873 -4.95464852607699 "escuela"
"1979" 25.0566893424035 49.8185941043084 45.1020408163266 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 119.977324263039 -12.3809523809525 "escuela"
"1980" 70.2267573696145 39.6825396825396 40.0907029478458 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 150 15.2721088435374 "escueto"
"1981" 80.1133786848073 49.7278911564626 70.1587301587301 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 200 15.1927437641723 "escueto"
"1982" 35.0793650793652 84.5578231292518 30.0680272108842 "FPS0060" "alt" "f" "Sevilla" "sk" "cluster" "vel" 149.705215419501 -24.7392290249434 "escueto"
"1983" 50.1133786848073 9.56916099773241 110.249433106576 "FPS0060" "alt" "f" "Sevilla" "sp" "cluster" "bil" 169.931972789116 20.2721088435375 "caspa"
"1985" 15.0340136054421 9.7052154195012 100.226757369615 "FPS0060" "alt" "f" "Sevilla" "sp" "cluster" "bil" 124.965986394558 2.66439909297048 "despide"
"1986" 30.0680272108843 9.59183673469386 100.226757369614 "FPS0060" "alt" "f" "Sevilla" "sp" "cluster" "bil" 139.886621315193 10.2380952380952 "despide"
