"pre" "post" "clos" "Vpn" "Age" "G" "R" "P" "Cluster" "Place" "vint" "offset" "W"
"301" 25.0566893424036 33.9909297052155 125.283446712018 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 184.331065759637 -4.46712018140602 "esquiando"
"302" 0 44.1950113378686 115.260770975057 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 159.455782312925 -22.0975056689342 "escucha"
"303" 40.0907029478458 28.7528344671202 80.1814058956916 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 149.024943310658 5.66893424036266 "escucha"
"304" 70.1587301587302 18.8662131519272 85.1927437641723 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 174.21768707483 25.6462585034016 "escudo"
"306" 45.1020408163266 29.0702947845805 80.1814058956916 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 154.353741496599 8.01587301587313 "escudo"
"307" 60.1360544217687 33.5147392290248 100.226757369615 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 193.877551020408 13.3106575963718 "escupe"
"308" 50.1133786848072 23.9229024943311 85.1927437641722 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 159.22902494331 13.0952380952381 "escupe"
"310" 95.2154195011339 33.7188208616781 60.1360544217687 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 189.070294784581 30.7482993197279 "escuela"
"311" 76.3038548752836 18.5260770975058 75.1700680272108 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 170 28.8888888888887 "escuela"
"312" 80.1814058956916 8.63945578231301 50.1133786848072 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 138.934240362812 35.7709750566892 "escueto"
"313" 50.1133786848075 28.6167800453513 50.1133786848075 "ALR0012" "alt" "m" "Sevilla" "sk" "cluster" "vel" 128.843537414966 10.7482993197279 "escueto"
"314" 80.1814058956916 22.902494331066 85.1927437641723 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 188.27664399093 28.6394557823128 "caspa"
"315" 90.204081632653 18.3673469387754 118.707482993197 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 227.278911564626 35.9183673469388 "caspa"
"316" 80.1814058956916 23.4240362811793 120.272108843537 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 223.877551020408 28.3786848072561 "caspa"
"317" 60.1360544217688 18.8208616780043 90.204081632653 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 169.160997732426 20.6575963718822 "despide"
"318" 90.204081632653 3.37868480725638 75.1700680272108 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 168.75283446712 43.4126984126983 "despide"
"319" 85.1927437641723 13.9229024943311 75.1700680272107 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 174.285714285714 35.6349206349207 "espia"
"320" 55.9637188208617 13.877551020408 70.1587301587301 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 140 21.0430839002269 "espia"
"321" 85.1927437641723 9.04761904761892 85.1927437641724 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 179.433106575964 38.0725623582766 "espia"
"322" 60.1360544217687 13.8548752834465 115.260770975057 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 189.251700680272 23.140589569161 "espina"
"323" 20.0453514739229 3.92290249433131 85.1927437641722 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 109.160997732426 8.0612244897959 "espina"
"324" -15.0340136054422 8.97959183673481 120.272108843537 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 114.21768707483 -12.0068027210885 "espina"
"326" 80.1814058956916 33.7188208616781 60.1360544217687 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 174.036281179138 23.2312925170068 "respira"
"327" 55.1247165532881 6.12244897959181 105.238095238095 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 166.485260770975 24.5011337868482 "respira"
"328" 85.1927437641725 10.8390022675737 85.1927437641721 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 181.224489795918 37.1768707482995 "despierta"
"329" 55.124716553288 8.61678004535133 85.1927437641725 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 148.934240362812 23.2539682539682 "despierta"
"330" 65.1473922902495 8.6848072562359 75.1700680272108 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 149.002267573696 28.2312925170068 "despierta"
"331" 0 23.7414965986395 80.1814058956918 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 103.922902494331 -11.8707482993195 "espiaba"
"332" 45.1020408163266 8.82086167800435 90.204081632653 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 144.126984126984 18.1405895691612 "espiaba"
"333" 35.0793650793651 27.7324263038549 90.2040816326531 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 153.015873015873 3.67346938775518 "espiaba"
"334" 65.1473922902494 13.5827664399094 90.204081632653 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 168.934240362812 25.7823129251699 "espiando"
"335" 50.1133786848072 23.764172335601 95.2154195011339 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 169.092970521542 13.1746031746031 "espiando"
"336" 60.1360544217689 18.3900226757369 65.1473922902494 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 143.673469387755 20.8730158730159 "disputa"
"338" 70.1587301587301 18.843537414966 75.1700680272107 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 164.172335600907 25.6575963718822 "disputa"
"339" -11.0430839002267 28.956916099773 115.260770975057 "ALR0012" "alt" "m" "Sevilla" "sp" "cluster" "bil" 133.174603174603 -20 "espuma"
