labels,dur_v,dur_c,dur_utterance,dur_v_norm,dur_c_norm,dur_v_norm_word,dur_c_norm_word,dur_following_sound,dur_word,vc_ratio,variety,speaker,target_word,rate,target_sound,preceding_vowel,following_sound,second_next_sound,bundle_name,target_sound_start,target_sound_end,manner_of_articulation,place_of_articulation,vowel_quality,word_group,vowel_height,dur_aspiration,dur_c_aspiration,category,non_word,age,F1,F2,release_type,legal,speaker_group,standard_dialect_continuum,consonant_strength,vowel_length
Pudding,38.027210884353735,42.58503401360554,1267.3242630385487,0.03000590456082592,0.033602318882069895,0.09442567567567564,0.10574324324324347,10.136054421768677,402.7210884353742,0.4717299578059066,SD,SD_0001,Pudding,normal,d,U,_h,I,SD_0001_Pudding_normal_01,1039.2176870748299,1081.8027210884354,stop,alveolar,u-like,BUD-,high,10.136054421768677,52.72108843537421,VC,FALSE,Y,439,1185,oral,legal,Y_SD,3,Lenis,Short
Pudding,37.05215419501121,52.31292517006807,1272.6757369614513,0.02911358574610235,0.04110467706013366,0.09194755500534545,0.12981824320522206,76.28117913832205,402.97052154195023,0.4146155798020797,SD,SD_0001,Pudding,normal,d,U,I,N,SD_0001_Pudding_normal_02,940.4195011337868,992.7324263038548,stop,alveolar,u-like,BUD-,high,0,52.31292517006807,VC,FALSE,Y,423,896,oral,legal,Y_SD,3,Lenis,Short
Pudding,35.079365079365175,37.120181405895664,1277.9818594104308,0.027449032097801668,0.029045937649709874,0.09060559915661262,0.09587677169966022,14.784580498866262,387.16553287981867,0.48586683417085513,SD,SD_0001,Pudding,normal,d,U,_h,I,SD_0001_Pudding_normal_03,864.8866213151928,902.0068027210884,stop,alveolar,u-like,BUD-,high,14.784580498866262,51.904761904761926,VC,FALSE,Y,496,1137,oral,legal,Y_SD,3,Lenis,Short
Pudding,39.52380952380952,39.86394557823132,1222.8798185941043,0.03232027295147323,0.03259841643642569,0.09952038369304558,0.10037684138403574,7.5736961451247,397.142857142857,0.49785775492716344,SD,SD_0001,Pudding,normal,d,U,_h,I,SD_0001_Pudding_normal_04,957.8344671201814,997.6984126984128,stop,alveolar,u-like,BUD-,high,7.5736961451247,47.43764172335602,VC,FALSE,Y,480,1252,oral,legal,Y_SD,3,Lenis,Short
Pudding,43.7414965986394,43.31065759637204,1274.7845804988663,0.03431285353445511,0.03397488348927402,0.10662760488640752,0.10557735890774461,17.573696145124813,410.22675736961435,0.5024746027611345,SD,SD_0001,Pudding,normal,d,U,_h,I,SD_0001_Pudding_normal_05,996.360544217687,1039.671201814059,stop,alveolar,u-like,BUD-,high,17.573696145124813,60.88435374149685,VC,FALSE,Y,426,1133,oral,legal,Y_SD,3,Lenis,Short
Rabbi,69.63718820861664,89.38775510204073,1118.4353741496598,0.06226304158303416,0.07992214585487493,0.20349877410377007,0.26121529388377157,9.138321995464821,342.1995464852607,0.437901040923998,SD,SD_0001,Rabbi,normal,b,a,_h,i,SD_0001_Rabbi_normal_01,1101.7573696145125,1191.1451247165533,stop,labial,a-like,rABe,low,9.138321995464821,98.52607709750555,VC,FALSE,Y,908,1514,oral,legal,Y_SD,3,Lenis,Short
Rabbi,71.67800453514724,80.1814058956918,1165.5555555555557,0.06149685803778123,0.06879243594482613,0.224009637871164,0.25058465027283755,6.938775510203868,319.9773242630383,0.47200238912945985,SD,SD_0001,Rabbi,normal,b,a,_h,i,SD_0001_Rabbi_normal_02,1211.5079365079364,1291.6893424036282,stop,labial,a-like,rABe,low,6.938775510203868,87.12018140589566,VC,FALSE,Y,905,1562,oral,legal,Y_SD,3,Lenis,Short
Rabbi,71.90476190476193,81.06575963718808,1268.7074829931971,0.0566756032171582,0.0638963360142984,0.19618882633174534,0.22118418610406443,16.666666666666856,366.5079365079366,0.470056329676846,SD,SD_0001,Rabbi,normal,b,a,_h,i,SD_0001_Rabbi_normal_03,940.7369614512472,1021.8027210884353,stop,labial,a-like,rABe,low,16.666666666666856,97.73242630385494,VC,FALSE,Y,782,1511,oral,legal,Y_SD,3,Lenis,Short
Rabbi,67.8684807256235,78.3446712018141,1171.3378684807255,0.05794099426978466,0.06688477621186313,0.21518441297001914,0.24840031634193696,6.825396825396751,315.3968253968254,0.4641749379652601,SD,SD_0001,Rabbi,normal,b,a,_h,i,SD_0001_Rabbi_normal_04,897.5850340136054,975.9297052154195,stop,labial,a-like,rABe,low,6.825396825396751,85.17006802721085,VC,FALSE,Y,894,1502,oral,legal,Y_SD,3,Lenis,Short
Rabbi,66.37188208616772,66.68934240362819,1037.482993197279,0.06397394706358044,0.06427993792756766,0.21506245407788357,0.21609110947832494,99.38775510204084,308.61678004535156,0.49880708929788625,SD,SD_0001,Rabbi,normal,b,a,i,v,SD_0001_Rabbi_normal_05,739.3537414965986,806.0430839002267,stop,labial,a-like,rABe,low,0,66.68934240362819,VC,FALSE,Y,861,1511,oral,legal,Y_SD,3,Lenis,Short
