"F1" "F2" "age" "spk" "gender" "word" "initial" "DCT0" "DCT1" "DCT2" "phoneme"
"1" 3.50254009536194 14.725998240985 "younger" "albr" "w" "seep" "i:" 20.5214286511358 -0.440431561035881 -0.312419082091173 "i:"
"2" 3.35347294938918 14.7614555019728 "younger" "albr" "w" "seep" "i:" 20.2833166960249 -0.711047921768743 -0.537285890515398 "i:"
"3" 3.71769858308287 14.4742035497641 "younger" "albr" "w" "seep" "i:" 20.0398913824861 -0.716295082693862 -0.431661375028135 "i:"
"4" 3.44314645806171 14.7690251916758 "younger" "albr" "w" "seep" "i:" 20.3280810760916 -0.558687224103217 -0.297987448771585 "i:"
"5" 3.54196451752488 14.6415503875969 "younger" "albr" "w" "seep" "i:" 20.3905097302641 -0.572658610037901 -0.252394715160389 "i:"
"6" 3.5714433880726 14.3482107175295 "younger" "albr" "w" "seep" "i:" 20.1018066744406 -0.600199114569325 -0.30096969010817 "i:"
"7" 3.63993106419647 14.5767483296214 "younger" "albr" "w" "seep" "i:" 20.2052112458166 -0.333545530714094 -0.32581968370878 "i:"
"8" 3.67888172043011 14.784134762634 "younger" "albr" "w" "seep" "i:" 20.4720249113729 -0.67571921683753 -0.301131187260089 "i:"
"9" 3.64968130921619 14.9477593271512 "younger" "albr" "w" "seep" "i:" 20.4868494303198 -0.646578802451561 -0.387705610597886 "i:"
"10" 3.54196451752488 14.5453863331845 "younger" "albr" "w" "seep" "i:" 20.3127741242512 -0.712678381405674 -0.1923680194161 "i:"
"11" 3.64968130921619 13.2892459826947 "younger" "albr" "w" "soup" "u:" 18.6079708199726 -0.173370569966443 -0.232855852895591 "u:"
"12" 3.45306689834926 13.732817574021 "younger" "albr" "w" "soup" "u:" 18.7248929926368 0.051504750184574 -0.68813039936362 "u:"
"13" 3.75638234033433 13.1431 "younger" "albr" "w" "soup" "u:" 18.0586484388134 0.325654503658534 -0.537733934720404 "u:"
"14" 3.75638234033433 13.7268227424749 "younger" "albr" "w" "soup" "u:" 18.719475841854 -0.0973573780438095 -0.53408684581357 "u:"
"15" 3.63993106419647 13.5071268838114 "younger" "albr" "w" "soup" "u:" 18.8172794783715 -0.254000054615909 -0.337512523395886 "u:"
"16" 3.70800687285223 13.3180858411445 "younger" "albr" "w" "soup" "u:" 17.9684141786768 -0.0336716892704442 -0.475137502335952 "u:"
"17" 3.63993106419647 13.2344190665343 "younger" "albr" "w" "soup" "u:" 18.0846239755954 0.371458601713593 -0.564342729034775 "u:"
"18" 3.89073711120579 12.9531930002536 "younger" "albr" "w" "soup" "u:" 18.1062028877644 -0.0592723280558013 -0.278654915463238 "u:"
"19" 3.82376068376068 13.6967624521073 "younger" "albr" "w" "soup" "u:" 18.8348100348003 0.245864816851074 -0.417387094264274 "u:"
"20" 3.65942315970727 13.4915843270869 "younger" "albr" "w" "soup" "u:" 18.1420757134252 0.433225841133895 -0.793045329734411 "u:"
"21" 3.47288194444444 14.7690251916758 "younger" "albr" "w" "heed" "i:" 20.5710568168776 0.034027460112587 -0.226117162285512 "i:"
"22" 3.46297872340426 14.7488172043011 "younger" "albr" "w" "heed" "i:" 20.9874295845351 0.0187168524376062 -0.0409846253758394 "i:"
"23" 3.60084592145015 14.7386865802767 "younger" "albr" "w" "heed" "i:" 20.6005728439839 -0.0793482748596339 -0.216039312311715 "i:"
"24" 3.44314645806171 14.8317211328976 "younger" "albr" "w" "heed" "i:" 20.7329002451191 -0.203961826277289 -0.221502817602287 "i:"
"25" 3.36347143480157 14.674964664311 "younger" "albr" "w" "heed" "i:" 20.7048006075271 -0.0645844315969628 -0.270689336675274 "i:"
"26" 3.45306689834926 15.090136286201 "younger" "albr" "w" "heed" "i:" 20.8125903542557 0.0842364361610298 -0.192233732615777 "i:"
"27" 3.53212121212121 14.8317211328976 "younger" "albr" "w" "heed" "i:" 20.7074032278346 -0.00541245383412461 -0.161712013721124 "i:"
"28" 3.49266261925412 14.8640538779057 "younger" "albr" "w" "heed" "i:" 20.9379004476374 0.0842673800782571 -0.129383354665017 "i:"
"29" 3.53212121212121 14.8017125382263 "younger" "albr" "w" "heed" "i:" 20.6533384379798 -0.106942563061277 -0.282263622002903 "i:"
"30" 3.58125269978402 14.5296422182469 "younger" "albr" "w" "heed" "i:" 20.5429375665284 -0.0513503720949029 -0.162525457459101 "i:"
"31" 3.53212121212121 12.2523438334223 "younger" "albr" "w" "who'd" "u:" 17.4841774074712 0.228637910836759 0.333305925022822 "u:"
"32" 3.44314645806171 11.0488115942029 "younger" "albr" "w" "who'd" "u:" 16.5419967919378 -0.116385570652211 0.950819962166453 "u:"
"33" 3.6301724137931 12.2485981308411 "younger" "albr" "w" "who'd" "u:" 17.6396126149687 -0.113707881847684 0.317679636503954 "u:"
