kF10,kF11,kF12,kF20,kF21,kF22,word,speaker,initial,session,label,group
-1.50625040579754,0.137302210568797,0.0547224190743869,1.94190288820745,-0.129755972708059,-0.191984322147057,feed,1,i:,1,i:,dummy
-0.548885839170539,1.5549422871116,1.41681222854579,2.17591109049677,-0.0216088421907412,-0.0357941374736002,seed,1,i:,1,i:,dummy
-1.54985608615252,-0.0565510621296126,-0.0881596876751115,2.12224318995016,-0.0585481637277482,-0.0869537308895364,keyed,1,i:,1,i:,dummy
-1.63611373817913,0.00243442752958235,0.0035093165715656,2.23703426854171,0.00158330872644029,-0.0890953414081929,heed,1,i:,1,i:,dummy
-0.850681653632182,0.183006847201179,0.147879550704491,1.40120173528737,-0.511351319199495,-0.0321338765302129,coffee,1,I:,1,I:,dummy
-0.998400531918533,0.0957812595371228,-0.121435483758646,1.54677318079637,-0.497012238441416,0.0307844383641545,messy,1,I:,1,I:,dummy
-1.35476967659357,0.363698269560648,-0.247892905226196,1.88337138676464,-0.280527233033547,0.0176312403053955,jockey,1,I:,1,I:,dummy
-1.5116017711874,0.00366713073344473,-0.027817187613045,1.12438038185644,0.438188475208103,0.0224998699029796,feud,1,ju,1,ju,dummy
-1.56787058350451,-0.00486165087543536,-0.0496906809443781,0.974483865654284,0.495678704518818,0.10495660662428,queued,1,ju,1,ju,dummy
-1.70446286048522,-0.0976143784551556,-0.147325664311329,1.00726689176429,0.446644463904488,0.0230167898960704,hewed,1,ju,1,ju,dummy
-1.28785111731249,-0.0610376478340318,-0.115910271779329,1.06281964802154,0.310356848613891,-0.194638383834733,curfew,1,ju,1,ju,dummy
-0.834256670752422,-0.826983635312493,0.632038101359747,1.33136109958074,0.248394807490914,-0.0427425499834639,rescue,1,ju,1,ju,dummy
-1.43556999559884,0.203230599363247,0.0266476233128586,0.398761420467822,0.0864808827727358,0.072711173379724,food,1,u,1,u,dummy
-1.42391355613578,0.205605204156877,-0.033497284494539,0.770953107043203,0.219068879087672,0.0132446425533481,sued,1,u,1,u,dummy
-1.44463022809058,0.12167653307843,-0.0529663862814918,0.537567580301144,0.0890800200393643,0.0908709123287026,cooed,1,u,1,u,dummy
-1.48850082752426,0.055793444261775,-0.0267723326729698,0.591555233155811,0.00886438103714796,0.119612603254466,whod,1,u,1,u,dummy
-0.635567361723075,0.519783583514138,-0.17535454172178,0.393106853335912,-0.130128853062479,-0.0669745892331358,tofu,1,ou,1,ou,dummy
-0.230082219855984,0.673084067426326,-0.480943478766585,-0.359943490270011,0.0044173637524876,-0.362575215739703,flow,1,ou,1,ou,dummy
0.0164514747876298,0.601964834040779,-0.611137719895413,-0.135359566533872,0.147002791653276,-0.169148820152635,sew,1,ou,1,ou,dummy
-0.780001243433475,0.72240606024477,0.0464280420480437,0.0867841422197472,-0.00790442468935138,0.0104989555421679,code,1,ou,1,ou,dummy
-0.811473629983724,0.634801429755784,0.0428654530263107,0.27170195068829,-0.0868931332444815,-0.0183758293238299,hoed,1,ou,1,ou,dummy
0.0139082516320543,0.619929818772941,-0.278846257816582,-0.0524259152658539,-0.146709885964692,-0.256960882191766,airflow,1,ou,1,ou,dummy
-0.337480414363314,0.406986508527882,-0.409338860530221,0.102956877379764,-0.106691370309558,-0.139867582714297,torso,1,ou,1,ou,dummy
0.0859662410400309,0.252375345141054,-0.59181706636167,0.297349451608026,0.133104668685402,0.0472026543576979,disco,1,ou,1,ou,dummy
0.0524804694916182,0.382028632348314,0.0132759234338811,-0.113818358412309,0.317384086684971,-0.311839411263297,backhoe,1,ou,1,ou,dummy
-0.711122282969968,-0.117788600820494,-0.251281030043597,1.02345645599315,-0.0587663831231304,-0.117188181544038,Sid,1,I,1,I,dummy
-0.768662706864867,-0.0797828062430369,-0.128276338289844,1.28383580916254,0.175310927791656,-0.0593726494907582,kid,1,I,1,I,dummy
