spk age word phoneme DCT0 DCT1 DCT2
albr younger seep i: 20.5214286511358 -0.440431561035881 -0.312419082091173
albr younger seep i: 20.2833166960249 -0.711047921768743 -0.537285890515398
albr younger seep i: 20.0398913824861 -0.716295082693862 -0.431661375028135
albr younger seep i: 20.3280810760916 -0.558687224103217 -0.297987448771585
albr younger seep i: 20.3905097302641 -0.572658610037901 -0.252394715160389
albr younger seep i: 20.1018066744406 -0.600199114569325 -0.30096969010817
albr younger seep i: 20.2052112458166 -0.333545530714094 -0.32581968370878
albr younger seep i: 20.4720249113729 -0.67571921683753 -0.301131187260089
albr younger seep i: 20.4868494303198 -0.646578802451561 -0.387705610597886
albr younger seep i: 20.3127741242512 -0.712678381405674 -0.1923680194161
albr younger soup u: 18.6079708199726 -0.173370569966443 -0.232855852895591
albr younger soup u: 18.7248929926368 0.051504750184574 -0.68813039936362
albr younger soup u: 18.0586484388134 0.325654503658534 -0.537733934720404
albr younger soup u: 18.719475841854 -0.0973573780438095 -0.53408684581357
albr younger soup u: 18.8172794783715 -0.254000054615909 -0.337512523395886
albr younger soup u: 17.9684141786768 -0.0336716892704442 -0.475137502335952
albr younger soup u: 18.0846239755954 0.371458601713593 -0.564342729034775
albr younger soup u: 18.1062028877644 -0.0592723280558013 -0.278654915463238
albr younger soup u: 18.8348100348003 0.245864816851074 -0.417387094264274
albr younger soup u: 18.1420757134252 0.433225841133895 -0.793045329734411
albr younger heed i: 20.5710568168776 0.034027460112587 -0.226117162285512
albr younger heed i: 20.9874295845351 0.0187168524376062 -0.0409846253758394
albr younger heed i: 20.6005728439839 -0.0793482748596339 -0.216039312311715
albr younger heed i: 20.7329002451191 -0.203961826277289 -0.221502817602287
albr younger heed i: 20.7048006075271 -0.0645844315969628 -0.270689336675274
albr younger heed i: 20.8125903542557 0.0842364361610298 -0.192233732615777
albr younger heed i: 20.7074032278346 -0.00541245383412461 -0.161712013721124
albr younger heed i: 20.9379004476374 0.0842673800782571 -0.129383354665017
albr younger heed i: 20.6533384379798 -0.106942563061277 -0.282263622002903
albr younger heed i: 20.5429375665284 -0.0513503720949029 -0.162525457459101
albr younger who'd u: 17.4841774074712 0.228637910836759 0.333305925022822
albr younger who'd u: 16.5419967919378 -0.116385570652211 0.950819962166453
albr younger who'd u: 17.6396126149687 -0.113707881847684 0.317679636503954
albr younger who'd u: 16.7714594778127 -0.16392812469203 0.681052858182803
albr younger who'd u: 16.9935311967342 0.208505449106319 0.491077726002723
