sl_rowIdx,speaker,age,word,label,DCT0,DCT1,DCT2
1,albr,younger,seep,i:,1452.94692663551,-20.7832871028188,-14.4095123764372
2,albr,younger,seep,i:,1437.62710475325,-35.1975137034798,-24.829855290279
3,albr,younger,seep,i:,1418.53454670071,-34.6285026522263,-20.9877250013901
4,albr,younger,seep,i:,1438.47301681829,-27.2901271587039,-13.5983394251122
5,albr,younger,seep,i:,1442.91100873689,-27.4659048350979,-11.9476784512289
6,albr,younger,seep,i:,1422.90435622592,-29.1591235297087,-14.4501743337704
7,albr,younger,seep,i:,1432.36209263859,-14.3256583672124,-13.4479175104847
8,albr,younger,seep,i:,1449.18451483088,-32.6613394012959,-14.0215611845315
9,albr,younger,seep,i:,1449.98337361205,-31.671348754892,-19.2106248058965
10,albr,younger,seep,i:,1437.68888423599,-34.631987601723,-8.7127083983962
11,albr,younger,soup,u:,1316.07674551993,-7.32617169792645,-11.9569330601802
12,albr,younger,soup,u:,1328.73221356635,-1.36954495524582,-31.1689795274211
13,albr,younger,soup,u:,1279.46049003579,14.7656767511498,-26.0647384565294
14,albr,younger,soup,u:,1325.34208366978,-6.00360461236257,-26.5272794168433
15,albr,younger,soup,u:,1332.49683045149,-12.9111002244721,-15.6963273886923
16,albr,younger,soup,u:,1273.11116450658,-2.57699672662317,-22.5740048773362
17,albr,younger,soup,u:,1282.7207719613,14.7729077291081,-25.3020016591631
18,albr,younger,soup,u:,1281.32014375791,-2.11720764851228,-13.7964616359526
19,albr,younger,soup,u:,1333.23408698197,10.6122973049857,-20.6274994854177
20,albr,younger,soup,u:,1287.80613436037,19.1279507761348,-36.924175738073
21,albr,younger,heed,i:,1455.88260660632,1.14059833250152,-10.526426170537
22,albr,younger,heed,i:,1485.06419650433,-0.273861679957072,-1.04634438163029
23,albr,younger,heed,i:,1457.02100862008,-4.75025118704067,-10.3400021138496
24,albr,younger,heed,i:,1467.29471483265,-10.0800388294401,-10.6114363027526
25,albr,younger,heed,i:,1466.09396531772,-3.49899349502497,-11.3769545819153
26,albr,younger,heed,i:,1472.09373943827,3.15291685077599,-6.36652015950754
27,albr,younger,heed,i:,1466.17384631484,-1.96234693033253,-6.40136279838269
28,albr,younger,heed,i:,1482.52989574541,3.91444415389139,-5.21596897904881
29,albr,younger,heed,i:,1462.71903937555,-8.10039530031521,-12.0807112804408
30,albr,younger,heed,i:,1454.63008374157,-3.28409764792856,-6.53710077072389
31,albr,younger,who'd,u:,1237.0114156701,13.1630442879257,16.5195786374391
32,albr,younger,who'd,u:,1163.48610963651,-2.33624849124673,43.9434704719532
33,albr,younger,who'd,u:,1245.43231668544,-4.88163715589749,14.969190342601
34,albr,younger,who'd,u:,1183.85703124384,-5.90879870219018,35.1519095605736
35,albr,younger,who'd,u:,1199.46005269628,13.5955127288045,22.8600811603194
36,albr,younger,who'd,u:,1254.11735276605,14.3694990876049,31.7294345230689
37,albr,younger,who'd,u:,1230.73752266871,-11.6185000034346,23.5975741090244
38,albr,younger,who'd,u:,1241.50302453384,9.18472029519389,13.0250797299567
39,albr,younger,who'd,u:,1221.60021142626,16.1876840481115,10.3766813760514
40,albr,younger,who'd,u:,1179.79941866022,-3.19458214609893,36.5097683259464
41,albr,younger,hewed,ju:,1307.56568931974,56.4734480031716,-16.3270267259817
42,albr,younger,hewed,ju:,1349.02970696633,28.7200343705791,8.329013265498
43,albr,younger,hewed,ju:,1317.96188998582,51.7950817100385,-12.4585020163678
44,albr,younger,hewed,ju:,1335.8522625986,44.8587824257475,2.67521744130657
45,albr,younger,hewed,ju:,1366.74792966281,-11.5548133934336,1.69272231206206
46,albr,younger,hewed,ju:,1333.22140043702,51.988831216068,4.71496961014278
47,albr,younger,hewed,ju:,1325.52849617119,43.8694054278151,-4.45888821476394
48,albr,younger,hewed,ju:,1320.26682814206,52.955406731548,6.24457246005624
49,albr,younger,hewed,ju:,1300.08995848547,49.1694132853309,26.9130171657429
50,albr,younger,hewed,ju:,1351.31681869503,34.7544419905335,7.12646627193422
51,albr,younger,keyed,i:,1447.92591625039,-2.98148403088784,-12.1672071793879
52,albr,younger,keyed,i:,1476.50761892258,10.0249073394623,-17.8924038584309
53,albr,younger,keyed,i:,1460.30509688421,-0.19596571216179,-8.18917223780018
54,albr,younger,keyed,i:,1454.2843626154,-0.286611330591414,-11.1886453930777
55,albr,younger,keyed,i:,1468.4479687489,-6.80995451158918,-4.75769608583043
56,albr,younger,keyed,i:,1474.66362970562,-7.92762029841207,-6.15551540937429
57,albr,younger,keyed,i:,1471.18854340587,-3.45925697032372,-2.60697848513254
58,albr,younger,keyed,i:,1475.61388051232,-7.7773821407585,-4.19866261370737
59,albr,younger,keyed,i:,1460.41263402955,-3.21273206544199,-8.79029195426101
60,albr,younger,keyed,i:,1454.99718362698,-0.157934057625312,-7.24007239212177
61,albr,younger,cooed,u:,1240.68666753226,27.6193458396591,21.369103693421
62,albr,younger,cooed,u:,1307.05606207442,10.3775996119966,6.06446663336219
63,albr,younger,cooed,u:,1248.08586832419,15.5516938519966,15.8181946373936
64,albr,younger,cooed,u:,1287.5700792083,-10.3325149046425,8.51355598530802
65,albr,younger,cooed,u:,1279.42321019966,5.49345806621454,8.74629136290724
66,albr,younger,cooed,u:,1282.4690037047,-3.93062102237829,-2.47981127863854
67,albr,younger,cooed,u:,1205.92290988887,12.7911312510121,15.9734401782326
68,albr,younger,cooed,u:,1269.17986631547,11.4109022599103,1.39451279507429
69,albr,younger,cooed,u:,1288.98911486314,2.37395678271128,4.08410889622572
70,albr,younger,cooed,u:,1186.09783117458,5.43419702164467,30.7275870019709
71,albr,younger,queued,ju:,1363.79073648683,31.9698189564234,16.2506788254249
72,albr,younger,queued,ju:,1338.90858064406,40.344116773292,12.9514847836032
73,albr,younger,queued,ju:,1349.57390854663,29.2044034352446,11.8059778722274
74,albr,younger,queued,ju:,1378.27142929206,50.6587264997092,-12.8885636550193
75,albr,younger,queued,ju:,1377.27394141414,18.6279093631243,-17.4158784706898
76,albr,younger,queued,ju:,1362.33710064006,38.0120796629729,-5.86706745431841
77,albr,younger,queued,ju:,1337.12133017383,41.9608046610418,-2.51074423144244
78,albr,younger,queued,ju:,1374.24119884341,34.4345077090062,-13.3998072076057
79,albr,younger,queued,ju:,1375.07064564031,21.3640049512097,-13.9365543874239
80,albr,younger,queued,ju:,1361.65628289036,52.8341599607051,-9.29912903088719
81,albr,younger,feed,i:,1440.69726370633,-19.7564529422728,-17.7960372897721
82,albr,younger,feed,i:,1447.59490412078,-21.9094560298015,-15.7813367005873
83,albr,younger,feed,i:,1413.41373461237,-22.5061024628884,-20.3727526830679
84,albr,younger,feed,i:,1446.89114973204,-29.7340676523506,-9.25884294494105
85,albr,younger,feed,i:,1439.50917021298,-22.4264026883437,-18.5223929599765
86,albr,younger,feed,i:,1461.00134374173,-13.7638914119049,-20.8413991975847
87,albr,younger,feed,i:,1446.44673377772,-27.9033614141593,-9.1731337355254
88,albr,younger,feed,i:,1464.22892843012,-14.3239525568848,-12.0252634908715
89,albr,younger,feed,i:,1429.81527765888,-19.2118115860831,-18.0366549184351
90,albr,younger,feed,i:,1439.85307456729,-24.7336021587123,-12.2191282259502
91,albr,younger,food,u:,1264.42295626893,-10.0789776070534,9.60090919968179
92,albr,younger,food,u:,1238.04511975108,-9.8561653717131,8.00120295114183
93,albr,younger,food,u:,1274.58297661673,-1.38027606662263,-9.43953496377582
94,albr,younger,food,u:,1252.40049243518,2.80254801164236,0.531856183427797
95,albr,younger,food,u:,1244.80129382378,5.10892239679869,5.54837978217464
96,albr,younger,food,u:,1238.89280292795,-5.97624975579659,6.16323489433473
97,albr,younger,food,u:,1249.39299366456,-2.78266314354714,-1.65483678580441
98,albr,younger,food,u:,1267.39732877613,-9.96710427453079,8.63832823595529
99,albr,younger,food,u:,1217.15234278075,0.414141421646257,14.6815423266193
100,albr,younger,food,u:,1246.0875966208,-7.45513808637551,4.22458936514844
101,albr,younger,feud,ju:,1345.04820896527,33.7676126191918,-14.9467594837944
102,albr,younger,feud,ju:,1344.70052972591,32.0586342361186,-10.7114730412488
103,albr,younger,feud,ju:,1368.61720603783,23.8518712075407,-6.18755183588057
104,albr,younger,feud,ju:,1378.16248306408,4.22782533182925,-9.42836063282734
105,albr,younger,feud,ju:,1392.27025271955,18.7325244811728,-0.232156586586273
106,albr,younger,feud,ju:,1360.39254606635,30.4312826523682,-8.60083186099365
107,albr,younger,feud,ju:,1358.48007379311,22.5902612302348,-6.40840716195689
108,albr,younger,feud,ju:,1379.06974039051,13.2687807665718,-2.94039676860826
109,albr,younger,feud,ju:,1380.11440412997,17.3920787995765,-4.09667726405081
110,albr,younger,feud,ju:,1355.22649179854,22.2645297178723,-2.67766052682199
111,alha,younger,seep,i:,1302.69185856176,-2.15253559069736,1.86040723139486
112,alha,younger,seep,i:,1309.3165042876,-14.2462883949538,-1.7797901297943
113,alha,younger,seep,i:,1334.0952573257,-16.2071929177929,-19.2653102041377
114,alha,younger,seep,i:,1314.45905738626,-22.751392452473,-9.94383533995655
115,alha,younger,seep,i:,1306.14379870904,11.1082189602462,8.73322040203268
116,alha,younger,seep,i:,1297.1854731393,-18.3086521591217,-8.51578796578131
117,alha,younger,seep,i:,1326.31120833682,-9.96910291353251,-4.29817667801161
118,alha,younger,seep,i:,1302.2037208308,-9.2305514701116,-8.589805152881
119,alha,younger,seep,i:,1320.26022111057,-8.14282900266402,-12.7627617140258
120,alha,younger,seep,i:,1293.82076387929,-11.7487294513968,-5.06284340061263
121,alha,younger,soup,u:,1246.63633332832,-18.1848113174944,-13.9665379594585
122,alha,younger,soup,u:,1218.40769432892,-15.7732077473616,-12.8563577638375
123,alha,younger,soup,u:,1252.85896305888,-9.07727710706549,-13.9803506835796
124,alha,younger,soup,u:,1218.05565264361,0.755034842335683,4.44383331667988
125,alha,younger,soup,u:,1278.94772770809,1.48014332186851,-23.0875384516944
126,alha,younger,soup,u:,1251.20919919768,2.45821407943116,-23.597968519372
127,alha,younger,soup,u:,1249.57713056238,-8.78579938968698,-13.6886161685625
128,alha,younger,soup,u:,1175.48154206867,-17.429635737079,-12.0093280516501
129,alha,younger,soup,u:,1250.79994610618,4.21841418489662,-20.8914275469951
130,alha,younger,soup,u:,1224.74180826912,38.4202889511371,-27.7778669486232
131,alha,younger,heed,i:,1358.64129374798,-7.25640762297339,-2.81411240422464
132,alha,younger,heed,i:,1350.91552033132,5.70214195961067,-1.11806111934635
133,alha,younger,heed,i:,1330.16613970807,2.31756315321374,-7.49660081123078
134,alha,younger,heed,i:,1341.16879298715,-3.62243686469512,-2.74257293623895
135,alha,younger,heed,i:,1335.48242215206,-10.7978716284768,-1.56465816011318
136,alha,younger,heed,i:,1348.01708580527,-0.892327525935951,-7.69880907977619
